,cloned health,ferrite armor,corpo health,robotic health,proto shield,alloy armor,biomechanical health,sentient shield,adaptive armor,infested health,fossilized armor,indifferent health,void armor,nekro health,orkin shield,prime armor,overguard
impact,-25%,25%,-25%,-15%,-50%,25%,-50%,-75%,-25%,-50%,15%,50%,75%,,-75%,15%,-45%
puncture,,50%,,25%,-50%,50%,-50%,-25%,-75%,-15%,15%,,,-50%,-50%,-30%,-75%
slash,50%,-50%,50%,-50%,,-50%,50%,,25%,50%,-50%,-50%,-75%,-50%,-50%,-75%,-75%
cold,15%,,-25%,-15%,50%,,-15%,-50%,-25%,,-15%,75%,50%,25%,50%,25%,-50%
electricity,15%,-50%,30%,75%,15%,-25%,,-25%,-15%,15%,-15%,-50%,-50%,,-25%,-45%,-50%
heat,50%,25%,25%,,-50%,-25%,-25%,-50%,-25%,75%,,-50%,-50%,-15%,-25%,-50%,-75%
toxin,,-75%,60%,-50%,passes through,-75%,-15%,passes through,-50%,-25%,-75%,-50%,-75%,-30%,passes through,-75%,-75%
blast,,-25%,,,-15%,-15%,-50%,-50%,-50%,,50%,,,-15%,-75%,-50%,-60%
corrosive,25%,75%,25%,25%,-75%,-50%,-75%,-75%,-75%,-25%,75%,-25%,-50%,-50%,-50%,,-75%
gas,-50%,-75%,25%,-75%,,-15%,-25%,-15%,-50%,50%,-25%,-15%,-25%,-15%,,-75%,-75%
magnetic,-75%,-75%,-50%,50%,75%,-50%,-30%,50%,25%,-75%,-75%,50%,15%,-75%,75%,-75%,75%
radiation,50%,-50%,25%,25%,-25%,75%,75%,,75%,50%,-25%,-75%,-75%,50%,-15%,-25%,-75%
viral,75%,-75%,75%,-50%,-75%,-75%,50%,,15%,-75%,-75%,-75%,-75%,-15%,-75%,-75%,-75%
