enemy,base health,health type,base armor,armor type,base shield,shield type,faction,unit type,overgaurd
002-ER,1000,robotic,50,alloy,2500,proto,corpus,medium,no
Aerial Commander,800,clone,250,ferrite,0,na,grineer,medium,no
Aerolyst,2000,biomechanical,75,adaptive,0,na,sentient,heavy,no
Alad V,900,corpo,250,alloy,1500,na,corpus,boss,no
Amalgam Alkonost,650,biomechanical,0,na,300,sentient,corpus,medium,no
Amalgam Arca Heqet,700,corpo,0,na,1100,sentient,corpus,medium,no
Amalgam Arca Kucumatz,1500,robotic,0,na,400,sentient,corpus,medium,no
Amalgam Cinder Machinist,1500,corpo,0,na,1200,sentient,corpus,medium,no
Amalgam Heqet,500,corpo,0,na,400,sentient,corpus,medium,no
Amalgam Kucumatz,500,robotic,0,na,100,sentient,corpus,medium,no
Amalgam Machinist,600,corpo,0,na,300,sentient,corpus,medium,no
Amalgam MOA,500,robotic,0,na,300,sentient,corpus,medium,no
Amalgam Osprey,500,robotic,0,na,300,sentient,corpus,medium,no
Amalgam Phase MOA,800,robotic,0,na,500,sentient,corpus,medium,no
Amalgam Satyr,600,biomechanical,0,na,150,sentient,corpus,medium,no
Amalgam Swarm Satyr,1300,biomechanical,0,na,400,sentient,corpus,medium,no
Ambulas,1100,robotic,150,alloy,500,proto,corpus,boss,no
Ancient Disruptor,400,infested,0,na,0,na,infested,medium,no
Ancient Healer,400,infested,0,na,0,na,infested,medium,yes
Angst,350,nekro,50,prime,200,orkin,shadow,boss,yes
Anti MOA,50,robotic,0,na,200,proto,corpus,basic,no
Archon Amar,3000,biomechanical,25,adaptive,0,na,narmer,boss,no
Archon Boreal,3000,biomechanical,25,adaptive,0,na,narmer,boss,no
Archon Nira,3000,biomechanical,25,adaptive,0,na,narmer,boss,no
Armaments Director,1750,corpo,100,alloy,1200,proto,corpus,medium,no
Armis Ulta,1000,corpo,50,alloy,2500,proto,corpus,medium,no
Artificer,1500,clone,150,ferrite,0,na,grineer,medium,no
Auditor,1000,robotic,50,alloy,2500,proto,corpus,heavy,no
Aurax Actinic,1000,corpo,0,na,500,proto,corpus,medium,no
Aurax Atloc Raknoid,300,robotic,150,alloy,250,proto,corpus,medium,no
Aurax Baculus,150,corpo,0,na,500,proto,corpus,basic,no
Aurax Culveri MOA,55,robotic,0,na,30,proto,corpus,light,no
Aurax Polaris MOA,55,robotic,0,na,30,proto,corpus,light,no
Aurax Vertec,1000,corpo,0,no,500,proto,corpus,heavy,no
